t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787926437.0391335,,,,,0.03610001294873655,0.0052000104915350676,1,,0,,0,,0,hover,0.012599979527294636,1
1787926437.07917,,0.04003643989562988,24.97724579425339,,28.39929997571744,0.0042000028770416975,1,,0,,0,28.370399988489226,1,hover,0.01270000939257443,1
1787926437.0868723,,0.007702350616455078,129.8304958831177,,0.028300011763349175,0.0046000059228390455,1,,0,,0,,0,hover,0.009399984264746308,1
1787926437.1560903,,0.06921792030334473,14.447125767684735,,28.398299997206777,0.0041000021155923605,1,6.740099983289838,1,,0,21.572700003162026,1,hover,0.00969998654909432,1
1787926437.1620731,,0.005982875823974609,167.14369968916873,,0.12599999899975955,0.008700008038431406,1,,0,,0,,0,hover,0.016400008462369442,1
1787926437.2119381,,0.049865007400512695,20.054143218471044,,18.0664999934379,0.0042000028770416975,1,,0,,0,17.99570000730455,1,hover,0.008399976650252938,1
1787926437.2259014,,0.01396322250366211,71.61670593859918,,0.09509999654255807,0.005400012014433742,1,,0,,0,,0,hover,0.012499978765845299,1
1787926437.2777617,,0.05186033248901367,19.282560523726772,,21.5885000070557,0.003999972250312567,1,5.190700001548976,1,,0,16.32730002165772,1,hover,0.008500006515532732,1
1787926437.2896552,,0.011893510818481445,84.07946276435803,,0.0714000198058784,0.0045000051613897085,1,,0,,0,,0,hover,0.009199982741847634,1
1787926437.3412812,,0.051625967025756836,19.3700972129217,,19.17909999610856,0.0038999714888632298,1,,0,,0,19.110499997623265,1,hover,0.007800001185387373,1
1787926437.352364,,0.011082887649536133,90.22919221254168,,0.1024999946821481,0.006399990525096655,1,,0,,0,,0,hover,0.013100012438371778,1
1787926437.4099514,,0.057587385177612305,17.364914154649973,,23.77839997643605,0.0036999990697950125,1,4.42120002117008,1,,0,19.295499980216846,1,hover,0.007700000423938036,1
1787926437.417959,,0.008007526397705078,124.88251056988031,,0.0754999928176403,0.0048000074457377195,1,,0,,0,,0,hover,0.009099981980398297,1
1787926437.471048,,0.053089141845703125,18.83624344327082,,22.320799995213747,0.0040000013541430235,1,,0,,0,22.22539999638684,1,hover,0.008800008799880743,1
1787926437.4979959,,0.026947736740112305,37.10886779265131,,0.08590001380071044,0.0043000036384910345,1,,0,,0,,0,hover,0.011500000255182385,1
1787926437.5519617,,0.05396580696105957,18.53025195605017,,21.809900004882365,0.004599976819008589,1,5.169200012460351,1,,0,16.56160000129603,1,hover,0.009400013368576765,1
1787926437.5618434,,0.009881734848022461,101.19680555890656,,0.07840001489967108,0.0046000059228390455,1,,0,,0,,0,hover,0.008799979696050286,1
1787926437.6096566,,0.04781317710876465,20.914736490428485,,16.570999985560775,0.0034999975468963385,1,,0,,0,16.49899999029003,1,hover,0.009800016414374113,1
1787926437.6264622,,0.016805648803710938,59.50380206559982,,0.07789998198859394,0.0049000082071870565,1,,0,,0,,0,hover,0.011099997209385037,1
