t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1790262401.109239,10,,,1.9977092742919922,0.14309999824035913,,0,,,0,0,,,no_face,0,0.009499999578110874,1,,0,,0,0,,0,search_360,0.06339999890769832,1,,
1790262401.2059798,21,0.09674072265625,10.336908517350158,0.9961128234863281,47.432799998205155,,0,,,0,0,,,no_face,0,0.004999998054699972,1,,0,,0,0,47.37829999794485,1,search_360,0.020800001948373392,1,,
1790262401.2219367,37,0.015956878662109375,62.668897920153,10.967731475830078,0.03760000254260376,,0,,,0,0,,,no_face,0,0.0041000021155923605,1,,0,,0,0,,0,search_360,0.011899999663000926,1,,
1790262401.2698092,40,0.04787254333496094,20.88880035061158,4.987478256225586,34.04890000092564,,0,,,0,0,,,no_face,0,0.00540000110049732,1,9.086699999897974,1,,0,0,24.92790000178502,1,search_360,0.011899999663000926,1,,
1790262401.2767906,53,0.006981372833251953,143.23830339457686,2.9909610748291016,0.032800002372823656,,0,,,0,0,,,no_face,0,0.0029000002541579306,1,,0,,0,0,,0,search_360,0.009899998985929415,1,,
1790262401.3206372,56,0.04384660720825195,22.806781725446697,0.9973049163818359,35.88250000029802,,0,,,0,0,,,no_face,0,0.006800000846851617,1,,0,,0,0,35.812199999782024,1,search_360,0.022099997295299545,1,,
1790262401.3288198,71,0.008182525634765625,122.21165501165501,1.9953250885009766,0.10929999916697852,,0,,,0,0,,,no_face,0,0.010799998563015833,1,,0,,0,0,,0,search_360,0.033300002542091534,1,,
1790262401.368481,74,0.03966116905212402,25.21357851771255,1.9941329956054688,30.75670000180253,,0,,,0,0,,,no_face,0,0.004300000000512227,1,5.9428999993542675,1,,0,0,24.773900000582216,1,search_360,0.014299999747890979,1,,
1790262401.3734674,91,0.00498652458190918,200.5404733444896,0.0,0.046200002543628216,,0,,,0,0,,,no_face,0,0.00419999923906289,1,,0,,0,0,,0,search_360,0.014000001101521775,1,,
1790262401.404385,93,0.030917644500732422,32.34399049954503,1.9936561584472656,24.58399999886751,,0,,,0,0,,,no_face,0,0.00419999923906289,1,,0,,0,0,24.54319999742438,1,search_360,0.013900000340072438,1,,
1790262401.4103687,107,0.005983591079711914,167.12371996652988,2.9916763305664062,0.041299997974419966,,0,,,0,0,,,no_face,0,0.0038999969547148794,1,,0,,0,0,,0,search_360,0.011900003300979733,1,,
1790262401.4469044,110,0.03653573989868164,27.37045979561739,0.9975433349609375,31.198199998470955,,0,,,0,0,,,no_face,0,0.004400000761961564,1,6.604599999263883,1,,0,0,24.553999999625375,1,search_360,0.01469999915570952,1,,
1790262401.4521255,125,0.005221128463745117,191.5294762317914,3.1125545501708984,0.03690000085043721,,0,,,0,0,,,no_face,0,0.0032000025385059416,1,,0,,0,0,,0,search_360,0.010799998563015833,1,,
1790262401.481526,126,0.029400348663330078,34.013202069513596,2.0711421966552734,20.393099999637343,,0,,,0,0,,,no_face,0,0.0032000025385059416,1,,0,,0,0,20.360800001071766,1,search_360,0.01089999932446517,1,,
1790262401.4944909,127,0.012964963912963867,77.13095128634215,6.980657577514648,0.04149999949731864,,0,,,0,0,,,no_face,0,0.0035000011848751456,1,,0,,0,0,,0,search_360,0.012900000001536682,1,,
