t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm,actuation_suppressed,bbox_area,delta_s,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
1789943229.3437872,2116,22.94,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.404923,2118,20.94,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.457789,2119,3.99,0,0,5,FORWARD,settle,svm,0,0,1,face,RIGHT,FACE,rc lr=0 fb=8 ud=-8 yaw=-15,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.5398307,2121,16.47,0,0,5,FORWARD,settle,svm,0,0,1,face,RIGHT,FACE,rc lr=0 fb=8 ud=-8 yaw=-15,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.5742497,2122,25.93,0,0,5,FORWARD,settle,svm,0,0,1,face,RIGHT,FACE,rc lr=0 fb=8 ud=-4 yaw=-13,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.6512954,2123,31.92,0,0,5,FORWARD,settle,svm,0,0,0,face,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.6907198,2125,24.46,0,0,5,FORWARD,settle,svm,0,0,1,face,RIGHT,FACE,rc lr=0 fb=6 ud=0 yaw=-9,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.793532,2127,0.0,0,0,5,FORWARD,settle,svm,1,1,1,gesture,FORWARD,CENTER,rc lr=0 fb=0 ud=0 yaw=0,1,0.600170634002273,82.0,90.0,1,,,0.569379568,0.822341561,1.99876922e-07,0.610560358,0.814329445,-0.0201958288,0.652075469,0.835513711,-0.0323785357,0.67968595,0.85976392,-0.0424152538,0.706196129,0.880155921,-0.0524923913,0.645083368,0.911292791,-0.029272072,0.666555107,0.962885976,-0.0465687849,0.677774787,0.993601799,-0.0599285848,0.688228548,1.01950133,-0.069697246,0.617463052,0.925682724,-0.032061398,0.633081317,0.977602303,-0.0457137935,0.643339515,1.00643098,-0.0554672554,0.652548313,1.0302875,-0.0632524118,0.586053014,0.923715293,-0.0367196314,0.596514642,0.970517159,-0.0516972691,0.603421748,0.997194171,-0.0569537319,0.611736894,1.01856303,-0.0610012487,0.552599609,0.910830915,-0.0430445448,0.553275347,0.943943441,-0.0596830212,0.559420168,0.96165818,-0.0633529797,0.568419337,0.973347187,-0.0648900047
1789943229.8313308,2128,12.98,0,0,5,FORWARD,settle,svm,0,0,1,gesture,FORWARD,NOHAND,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.8981335,2130,7.98,0,0,5,FORWARD,settle,svm,0,0,0,gesture,FORWARD,NOHAND,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943229.9534266,2131,1.99,0,0,5,FORWARD,settle,svm,0,0,0,gesture,FORWARD,NOHAND,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943230.057672,2133,39.32,0,0,5,FORWARD,settle,svm,1,0,0,gesture,FORWARD,NOHAND,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
