t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1789938561.1871617,150,0.06564855575561523,15.232627564917378,0.0,27.530700026545674,0.005099980626255274,1,5.575200018938631,1,,0,0,21.923299995251,1,hover,0.01910002902150154,1,,
1789938561.1961377,151,0.008975982666015625,111.40841478963026,2.991914749145508,0.03659998765215278,0.005299982149153948,1,,0,,0,0,,0,hover,0.016400008462369442,1,,
1789938561.2459157,152,0.049777984619140625,20.089202237719366,1.9948482513427734,19.846400013193488,0.006400048732757568,1,,0,,0,0,19.79580003535375,1,hover,0.02340000355616212,1,,
1789938561.2897978,153,0.043882131576538086,22.788318709081526,0.9968280792236328,0.0377000542357564,0.005300040356814861,1,,0,,0,0,,0,hover,0.016499951016157866,1,,
1789938561.3556068,154,0.06580901145935059,15.195487332577358,1.9938945770263672,26.353699970059097,0.00589998671784997,1,5.885799997486174,1,,0,0,20.43699997011572,1,hover,0.01780001912266016,1,,
1789938561.3635857,155,0.00797891616821289,125.33030538456941,10.970830917358398,0.03200001083314419,0.005199981387704611,1,,0,,0,0,,0,hover,0.014599994756281376,1,,
1789938561.4068856,156,0.04329991340637207,23.09473440777918,1.6181468963623047,18.206799984909594,0.003999972250312567,1,,0,,0,0,18.17799999844283,1,hover,0.014299992471933365,1,,
1789938561.438031,157,0.031145334243774414,32.10753791155374,1.9943714141845703,0.03619998460635543,0.004699977580457926,1,,0,,0,0,,0,hover,0.01680001150816679,1,,
1789938561.5135887,158,0.07555770874023438,13.234916948553542,0.9989738464355469,23.888800002168864,0.004900037311017513,1,5.3183999843895435,1,,0,0,18.54069996625185,1,hover,0.017899961676448584,1,,
1789938561.5225646,159,0.008975982666015625,111.40841478963026,2.992391586303711,0.03219995414838195,0.00500003807246685,1,,0,,0,0,,0,hover,0.01409999094903469,1,,
