t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1790261930.1294348,10,,,0.9973049163818359,0.08909999814932235,,0,,,0,0,,,no_face,0,0.0040000013541430235,1,,0,,0,0,,0,hover,0.0259000007645227,1,,
1790261930.197749,18,0.0683140754699707,14.638271734198863,3.990650177001953,41.03920000125072,,0,,,0,0,,,no_face,0,0.0104000027931761,1,,0,,0,0,40.87549999894691,1,hover,0.06089999806135893,1,,
1790261930.208719,30,0.010970115661621094,91.15674171955142,1.9943714141845703,0.051399998483248055,,0,,,0,0,,,no_face,0,0.004300000000512227,1,,0,,0,0,,0,hover,0.01630000042496249,1,,
1790261930.254171,33,0.04545187950134277,22.001290397033134,2.992391586303711,34.887699999671895,,0,,,0,0,,,no_face,0,0.004099998477613553,1,11.003900002833689,1,,0,0,23.844999999710126,1,hover,0.015400000847876072,1,,
1790261930.2641444,40,0.009973526000976562,100.26544272327405,3.985166549682617,0.0394000016967766,,0,,,0,0,,,no_face,0,0.0040000013541430235,1,,0,,0,0,,0,hover,0.013299999409355223,1,,
1790261930.303041,43,0.03889656066894531,25.70921394596185,2.979278564453125,27.131399998324923,,0,,,0,0,,,no_face,0,0.0035999983083456755,1,,0,,0,0,27.09350000077393,1,hover,0.013900000340072438,1,,
1790261930.310024,53,0.006983041763305664,143.20406978729216,1.9936561584472656,0.121900000522146,,0,,,0,0,,,no_face,0,0.012499996955739334,1,,0,,0,0,,0,hover,0.03810000271187164,1,,
1790261930.351416,55,0.04139208793640137,24.15920650189216,2.032756805419922,35.744599997997284,,0,,,0,0,,,no_face,0,0.0040000013541430235,1,8.884700000635348,1,,0,0,26.821199997357326,1,hover,0.015399997209897265,1,,
1790261930.3573809,67,0.005964756011962891,167.65145095531219,1.9953250885009766,0.10990000009769574,,0,,,0,0,,,no_face,0,0.010199997632298619,1,,0,,0,0,,0,hover,0.04220000118948519,1,,
1790261930.3947906,69,0.03740978240966797,26.730976113391286,1.9922256469726562,29.523900000640424,,0,,,0,0,,,no_face,0,0.0035999983083456755,1,,0,,0,0,29.485299997759284,1,hover,0.014500001270789653,1,,
1790261930.401806,81,0.0070154666900634766,142.54219201359388,4.022836685180664,0.03890000152750872,,0,,,0,0,,,no_face,0,0.0037000027077738196,1,,0,,0,0,,0,hover,0.01309999788645655,1,,
1790261930.4356833,84,0.03387713432312012,29.51843536888332,0.9667873382568359,28.28360000057728,,0,,,0,0,,,no_face,0,0.00419999923906289,1,5.920700001297519,1,,0,0,22.320799998851726,1,hover,0.016599999071331695,1,,
1790261930.4402888,98,0.004605531692504883,217.13019620023815,0.9968280792236328,0.04529999932856299,,0,,,0,0,,,no_face,0,0.0042000028770416975,1,,0,,0,0,,0,hover,0.015499997971346602,1,,
