t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1789875393.7974126,13,,,1.9960403442382812,0.09919999865815043,0.0241999514400959,1,,0,0,0,,0,hover,0.03880000440403819,1
1789875393.8886864,27,0.09127378463745117,10.95604837656401,21.97408676147461,29.17430002707988,0.005299982149153948,1,,0,0,0,29.13119998993352,1,hover,0.02210005186498165,1
1789875393.9026492,48,0.013962745666503906,71.61915169728843,1.9946098327636719,0.031100003980100155,0.004599976819008589,1,,0,0,0,,0,hover,0.01279998105019331,1
1789875393.9485283,54,0.04587912559509277,21.79640494514917,0.9958744049072266,31.332200043834746,0.00589998671784997,1,7.359199982602149,1,0,0,23.93690001918003,1,hover,0.021599989850074053,1
1789875393.9584997,75,0.009971380233764648,100.28701910432059,0.9975433349609375,0.043000036384910345,0.005499983672052622,1,,0,0,0,,0,hover,0.019000028260052204,1
1789875394.000387,81,0.04188728332519531,23.87359409862939,0.9973049163818359,18.97929998813197,0.00400003045797348,1,,0,0,0,18.950500001665205,1,hover,0.014199991710484028,1
1789875394.0123556,93,0.011968612670898438,83.55187250996016,0.9977817535400391,0.03330002073198557,0.005199981387704611,1,,0,0,0,,0,hover,0.015300000086426735,1
1789875394.0522492,98,0.03989362716674805,25.066660291885302,1.9931793212890625,30.32390004955232,0.005100038833916187,1,7.549900037702173,1,0,0,22.743600013200194,1,hover,0.01799996243789792,1
1789875394.062222,116,0.009972810745239258,100.27263381864257,0.9977817535400391,0.03489997470751405,0.005600042641162872,1,,0,0,0,,0,hover,0.015199999324977398,1
1789875394.0929692,121,0.030747175216674805,32.523312888192734,1.6629695892333984,19.86529998248443,0.005199981387704611,1,,0,0,0,19.83439998002723,1,hover,0.01479999627918005,1
1789875394.099906,125,0.006936788558959961,144.15892765079911,19.161462783813477,0.030099996365606785,0.004500034265220165,1,,0,0,0,,0,hover,0.01379998866468668,1
1789875394.1348054,126,0.03489947319030762,28.653727652190547,0.9980201721191406,24.207100039348006,0.0048999791033566,1,4.658399964682758,1,0,0,19.521400041412562,1,hover,0.016000005416572094,1
1789875394.148032,127,0.013226509094238281,75.60573941884779,4.489421844482422,0.05360000068321824,0.006699992809444666,1,,0,0,0,,0,hover,0.023100001271814108,1
1789875394.2015445,128,0.0535125732421875,18.687197034502425,2.099752426147461,21.41200000187382,0.004399975296109915,1,,0,0,0,21.381500002462417,1,hover,0.015700003132224083,1
1789875394.245933,129,0.044388532638549805,22.5283410051617,1.9948482513427734,0.07819995516911149,0.027800037059932947,1,,0,0,0,,0,hover,0.023999949917197227,1
1789875394.3017838,130,0.05585074424743652,17.904864357217562,0.0,24.20630003325641,0.005799985956400633,1,4.810300015378743,1,0,0,19.365000014659017,1,hover,0.018900027498602867,1
1789875394.3173022,131,0.015518426895141602,64.43952127087526,6.233692169189453,0.02989999484270811,0.004599976819008589,1,,0,0,0,,0,hover,0.012999982573091984,1
1789875394.3712883,132,0.0539860725402832,18.52329597145305,0.9987354278564453,24.703700037207454,0.004500034265220165,1,,0,0,0,24.67160002561286,1,hover,0.015199999324977398,1
1789875394.4149435,133,0.0436551570892334,22.90680109009683,3.0226707458496094,0.032400013878941536,0.004599976819008589,1,,0,0,0,,0,hover,0.0149000552482903,1
1789875394.473491,134,0.0585474967956543,17.08014953210135,0.9982585906982422,28.187900024931878,0.005099980626255274,1,5.309900036081672,1,0,0,22.848099994007498,1,hover,0.018000020645558834,1
1789875394.4814696,135,0.007978677749633789,125.33405050052293,0.9968280792236328,0.03300001844763756,0.005299982149153948,1,,0,0,0,,0,hover,0.01409999094903469,1
1789875394.5320182,136,0.050548553466796875,19.782959776620633,2.701282501220703,20.31739999074489,0.004699977580457926,1,,0,0,0,20.281000004615635,1,hover,0.01899997005239129,1
1789875394.580837,137,0.04881882667541504,20.483900742817237,7.068872451782227,0.03850000211969018,0.005100038833916187,1,,0,0,0,,0,hover,0.017000013031065464,1
1789875394.6170862,138,0.03624916076660156,27.586845566956065,2.991914749145508,25.88680002372712,0.004199973773211241,1,4.4501000083982944,1,0,0,21.41240000491962,1,hover,0.014899997040629387,1
1789875394.6485004,139,0.03141427040100098,31.832666722322994,1.0302066802978516,0.06559997564181685,0.00990001717582345,1,,0,0,0,,0,hover,0.028699985705316067,1
1789875394.6978073,140,0.04930686950683594,20.28114966539012,1.6682147979736328,17.73309998679906,0.004400033503770828,1,,0,0,0,17.7036999957636,1,hover,0.014699995517730713,1
1789875394.7483768,141,0.05056953430175781,19.774752008448687,7.192134857177734,0.03190001007169485,0.004499976057559252,1,,0,0,0,,0,hover,0.014199991710484028,1
1789875394.8036726,142,0.055295705795288086,18.084586960552244,3.9741992950439453,22.64800004195422,0.004799978341907263,1,4.4643000001087785,1,0,0,18.156300007831305,1,hover,0.017200014553964138,1
1789875394.8106499,143,0.0069773197174072266,143.32151033657954,0.9932518005371094,0.057399971410632133,0.009800016414374113,1,,0,0,0,,0,hover,0.027999980375170708,1
1789875394.8717563,144,0.06110644340515137,16.36488632417606,1.9919872283935547,22.188099974300712,0.003999972250312567,1,,0,0,0,22.1585999825038,1,hover,0.014699995517730713,1
1789875394.9106529,145,0.03889656066894531,25.70921394596185,0.9977817535400391,0.03309996100142598,0.0048999791033566,1,,0,0,0,,0,hover,0.014899997040629387,1
1789875394.9704912,146,0.059838294982910156,16.7117061120408,0.9968280792236328,25.33249999396503,0.0048999791033566,1,5.045600002631545,1,0,0,20.259000011719763,1,hover,0.016600009985268116,1
