t,bat,h,yaw
1770328161.472537,52.0,0.0,35.0
1770328161.4880116,52.0,0.0,35.0
1770328161.5191934,52.0,0.0,35.0
1770328161.5350938,52.0,0.0,35.0
1770328161.565727,52.0,0.0,35.0
1770328161.5816846,52.0,0.0,35.0
1770328161.6122172,52.0,0.0,35.0
1770328161.628343,52.0,0.0,35.0
1770328161.675069,52.0,0.0,35.0
1770328161.69012,52.0,0.0,35.0
1770328161.7213073,52.0,0.0,35.0
1770328161.7373097,52.0,0.0,35.0
1770328161.7681522,52.0,0.0,35.0
1770328161.7836,52.0,0.0,35.0
1770328161.8147776,52.0,0.0,35.0
1770328161.8298826,52.0,0.0,35.0
1770328161.8607004,52.0,0.0,35.0
1770328161.8764012,52.0,0.0,35.0
1770328161.907547,52.0,0.0,35.0
1770328161.923642,52.0,0.0,35.0
1770328161.9550917,52.0,0.0,35.0
1770328161.9707327,52.0,0.0,35.0
1770328162.0025873,52.0,0.0,35.0
1770328162.0174525,52.0,0.0,35.0
1770328162.0480685,52.0,0.0,35.0
1770328162.063824,52.0,0.0,35.0
1770328162.0946014,52.0,0.0,35.0
1770328162.1101742,52.0,0.0,35.0
1770328162.141822,52.0,0.0,35.0
1770328162.1569357,52.0,0.0,35.0
1770328162.1887803,52.0,0.0,35.0
1770328162.203815,52.0,0.0,35.0
1770328162.235339,52.0,0.0,35.0
1770328162.2506745,52.0,0.0,35.0
1770328162.2809289,52.0,0.0,35.0
1770328162.2968764,52.0,0.0,35.0
1770328162.3279936,52.0,0.0,35.0
1770328162.343385,52.0,0.0,35.0
1770328162.3738058,52.0,0.0,35.0
1770328162.3897903,52.0,0.0,35.0
1770328162.420002,52.0,0.0,35.0
1770328162.4353783,52.0,0.0,35.0
1770328162.4656954,52.0,0.0,35.0
1770328162.4807951,52.0,0.0,35.0
1770328162.5120366,52.0,0.0,35.0
1770328162.5278494,52.0,0.0,35.0
1770328162.559019,52.0,0.0,35.0
1770328162.5747871,52.0,0.0,35.0
1770328162.606098,52.0,0.0,35.0
1770328162.6214573,52.0,0.0,35.0
1770328162.652588,52.0,0.0,35.0
1770328162.6681921,52.0,0.0,35.0
1770328162.6991518,52.0,0.0,35.0
1770328162.7140448,52.0,0.0,35.0
1770328162.7458904,52.0,0.0,35.0
1770328162.7612886,52.0,0.0,35.0
1770328162.792448,52.0,0.0,35.0
1770328162.8079522,52.0,0.0,35.0
1770328162.8388934,52.0,0.0,35.0
1770328162.854501,52.0,0.0,35.0
1770328162.8855243,52.0,0.0,35.0
1770328162.9014883,52.0,0.0,35.0
1770328162.9323251,52.0,0.0,35.0
1770328162.947358,52.0,0.0,35.0
1770328162.978288,52.0,0.0,35.0
1770328162.993486,52.0,0.0,35.0
1770328163.0244524,52.0,0.0,35.0
1770328163.0396469,52.0,0.0,35.0
1770328163.0710046,52.0,0.0,35.0
1770328163.0861857,52.0,0.0,35.0
1770328163.117343,52.0,0.0,35.0
1770328163.1331706,52.0,0.0,35.0
1770328163.1641402,52.0,0.0,35.0
1770328163.1799405,52.0,0.0,35.0
1770328163.2257726,52.0,0.0,35.0
1770328163.2409508,52.0,0.0,35.0
1770328163.2724457,52.0,0.0,35.0
1770328163.2873857,52.0,0.0,35.0
1770328163.3187523,52.0,0.0,35.0
1770328163.3348339,52.0,0.0,35.0
1770328163.3647788,52.0,0.0,35.0
1770328163.380782,52.0,0.0,35.0
1770328163.427044,52.0,0.0,35.0
1770328163.442146,52.0,0.0,35.0
1770328163.4729135,52.0,0.0,35.0
1770328163.48881,52.0,0.0,35.0
1770328163.5356905,52.0,0.0,35.0
1770328163.5506961,52.0,0.0,35.0
1770328163.5813034,52.0,0.0,35.0
1770328163.5971532,52.0,0.0,35.0
1770328163.6280015,52.0,0.0,35.0
1770328163.6429136,52.0,0.0,35.0
1770328163.6741858,52.0,0.0,35.0
