t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787925354.968902,,,,,0.036200013710185885,0.0045000051613897085,1,,0,,0,,0,hover,0.012800010154023767,1
1787925355.0007324,,0.0318303108215332,31.416595508816084,,23.657100013224408,0.006499991286545992,1,,0,,0,23.628299997653812,1,hover,0.011199997970834374,1
1787925355.004221,,0.0034885406494140625,286.65281574630944,,0.021199986804276705,0.004299974534660578,1,,0,,0,,0,hover,0.007499998901039362,1
1787925355.0517342,,0.04751324653625488,21.04676217477482,,23.402999999234453,0.0040000013541430235,1,6.671400013146922,1,0.07039998308755457,1,16.64709998294711,1,hover,0.009100011084228754,1
1787925355.0607412,,0.009006977081298828,111.02504102917041,,0.09369998588226736,0.004799978341907263,1,,0,0.06550000398419797,1,,0,hover,0.00990001717582345,1
1787925355.127803,,0.0670619010925293,14.911596356629385,,19.69180000014603,0.0042000028770416975,1,,0,0.0591999851167202,1,19.61319998372346,1,hover,0.008600007276982069,1
1787925355.1407344,,0.012931346893310547,77.33146502452155,,0.08150000940077007,0.004599976819008589,1,,0,0.053099996875971556,1,,0,hover,0.010300020221620798,1
1787925355.1936836,,0.05294919013977051,18.886030123601323,,21.661900012986735,0.006499991286545992,1,4.87589999102056,1,0.11340001947246492,1,16.649900004267693,1,hover,0.014399993233382702,1
1787925355.2131395,,0.019455909729003906,51.39826479094162,,0.09129999671131372,0.0049000082071870565,1,,0,0.06319998647086322,1,,0,hover,0.010099989594891667,1
1787925355.252575,,0.039435386657714844,25.357935721022468,,16.057300003012642,0.0043000036384910345,1,,0,0.05910001345910132,1,15.978900017216802,1,hover,0.008300004992634058,1
1787925355.2689054,,0.016330480575561523,61.23518505000365,,0.0847000046633184,0.0048000074457377195,1,,0,0.05670002428814769,1,,0,hover,0.009599985787644982,1
1787925355.3237739,,0.054868459701538086,18.225406826427967,,23.456999973859638,0.0042000028770416975,1,4.599800013238564,1,0.05479998071677983,1,18.787699984386563,1,hover,0.009300012607127428,1
1787925355.3373954,,0.01362156867980957,73.4129837396951,,0.10609999299049377,0.004599976819008589,1,,0,0.06510000093840063,1,,0,hover,0.009500014130026102,1
1787925355.3839755,,0.04658007621765137,21.46840626295612,,19.50530000613071,0.0039000005926936865,1,,0,0.13050000416114926,1,19.349500013049692,1,hover,0.010299991117790341,1
1787925355.3997893,,0.015813827514648438,63.235797853093715,,0.11860000086016953,0.005700014298781753,1,,0,0.07899999036453664,1,,0,hover,0.015900004655122757,1
1787925355.4479287,,0.048139333724975586,20.773033663346723,,21.55589999165386,0.0046000059228390455,1,4.56919998396188,1,0.05440000677481294,1,16.91720000235364,1,hover,0.009300012607127428,1
1787925355.4619243,,0.013995647430419922,71.45078532247624,,0.0813000078778714,0.0045000051613897085,1,,0,0.054500007536262274,1,,0,hover,0.009799987310543656,1
1787925355.555503,,0.09357857704162598,10.68620651877594,,33.314500004053116,0.00790000194683671,1,,0,0.221800000872463,1,33.03999998024665,1,hover,0.023300002794712782,1
1787925355.5857568,,0.030253887176513672,33.05360379529371,,0.14349998673424125,0.005700014298781753,1,,0,0.10510001447983086,1,,0,hover,0.014599994756281376,1
1787925355.636978,,0.05122113227844238,19.52319200137779,,32.29429997736588,0.007800001185387373,1,7.191199983935803,1,0.08150000940077007,1,24.99599999282509,1,hover,0.015900004655122757,1
1787925355.6459532,,0.00897526741027832,111.41729313321822,,0.28039998142048717,0.010899995686486363,1,,0,0.2086999884340912,1,,0,hover,0.024300010409206152,1
1787925355.6937854,,0.04783225059509277,20.906396574669902,,26.851499977055937,0.0046000059228390455,1,,0,0.08019999950192869,1,26.749399985419586,1,hover,0.010199990356341004,1
1787925355.707507,,0.013721466064453125,72.87850986933556,,0.15820001135580242,0.007299997378140688,1,,0,0.11059999815188348,1,,0,hover,0.018099992303177714,1
1787925355.7436218,,0.03611493110656738,27.689378585527837,,20.769499999005347,0.0041000021155923605,1,4.236100008711219,1,0.060999998822808266,1,16.458300000522286,1,hover,0.009099981980398297,1
1787925355.7540553,,0.010433435440063477,95.84570736500537,,0.0824000162538141,0.0049000082071870565,1,,0,0.05490001058205962,1,,0,hover,0.010299991117790341,1
1787925355.785737,,0.03168177604675293,31.56388702843855,,16.723999986425042,0.00589998671784997,1,,0,0.07999999797903001,1,16.61890000104904,1,hover,0.011299998732283711,1
1787925355.8000736,,0.014336585998535156,69.7516131178075,,0.13500000932253897,0.006799993570894003,1,,0,0.08930001058615744,1,,0,hover,0.016399979358538985,1
1787925355.8494208,,0.0493471622467041,20.26458978533847,,21.52159999241121,0.0041000021155923605,1,4.661700018914416,1,0.07229999755509198,1,16.772899980423972,1,hover,0.00969998654909432,1
1787925355.876129,,0.026708126068115234,37.44178822017104,,0.1564999984111637,0.008399976650252938,1,,0,0.10779997683130205,1,,0,hover,0.01780001912266016,1
1787925355.925314,,0.04918503761291504,20.331386302272936,,16.886199999134988,0.0037999998312443495,1,,0,0.06560000474564731,1,16.800899989902973,1,hover,0.009399984264746308,1
1787925355.940156,,0.014842033386230469,67.37621281243976,,0.07869998808018863,0.0048000074457377195,1,,0,0.051300012273713946,1,,0,hover,0.010299991117790341,1
1787925355.992531,,0.052375078201293945,19.093050251050407,,20.163600012892857,0.0037999998312443495,1,4.120800003875047,1,0.058699981309473515,1,15.970500011462718,1,hover,0.00890000956133008,1
1787925356.004637,,0.012105941772460938,82.60406491255712,,0.08279999019578099,0.0041000021155923605,1,,0,0.056599994422867894,1,,0,hover,0.009700015652924776,1
1787925356.0566735,,0.05203652381896973,19.217271381902986,,19.021199987037107,0.0035999983083456755,1,,0,0.062700011767447,1,18.93960000597872,1,hover,0.008600007276982069,1
1787925356.0688875,,0.012213945388793945,81.87362626637257,,0.07990002632141113,0.0045000051613897085,1,,0,0.05240002064965665,1,,0,hover,0.010399991879239678,1
1787925356.1226459,,0.05375838279724121,18.60175005211128,,22.44770000106655,0.0041000021155923605,1,5.022400000598282,1,0.059200014220550656,1,17.351799993775785,1,hover,0.009299983503296971,1
1787925356.1389818,,0.01633596420288086,61.21462973233311,,0.12270000297576189,0.007299997378140688,1,,0,0.08110000635497272,1,,0,hover,0.01659998088143766,1
1787925356.1819336,,0.04295182228088379,23.28189927450556,,16.94339999812655,0.0035999983083456755,1,,0,0.06349998875521123,1,16.861099982634187,1,hover,0.00890000956133008,1
1787925356.2008986,,0.01896500587463379,52.72869444968257,,0.13010000111535192,0.00890000956133008,1,,0,0.0824000162538141,1,,0,hover,0.018799997633323073,1
1787925356.2501192,,0.04922056198120117,20.316712360617306,,21.451399981742725,0.0043000036384910345,1,4.325100017013028,1,0.06379999103955925,1,17.048399982741103,1,hover,0.00890000956133008,1
1787925356.2767262,,0.026607036590576172,37.58404272478001,,0.1289999927394092,0.006000016583129764,1,,0,0.08379999781027436,1,,0,hover,0.019800005247816443,1
1787925356.3242214,,0.047495126724243164,21.05479170117816,,15.964899997925386,0.0039000005926936865,1,,0,0.06210000719875097,1,15.883799991570413,1,hover,0.00869997893460095,1
1787925356.339383,,0.015161514282226562,65.95647251226569,,0.08759999764151871,0.0046000059228390455,1,,0,0.05889998283237219,1,,0,hover,0.00990001717582345,1
1787925356.3947802,,0.05539727210998535,18.05143036672649,,21.949100017081946,0.0045000051613897085,1,4.263900016667321,1,0.06219997885636985,1,17.608499998459592,1,hover,0.009100011084228754,1
1787925356.4044962,,0.009716033935546875,102.92265410286612,,0.10379997547715902,0.0042000028770416975,1,,0,0.07580002420581877,1,,0,hover,0.01069999416358769,1
1787925356.452376,,0.047879695892333984,20.88567985579269,,15.806100011104718,0.0039000005926936865,1,,0,0.08110000635497272,1,15.70499999797903,1,hover,0.009899988071992993,1
1787925356.4685595,,0.01618361473083496,61.79089261774628,,0.08190001244656742,0.0047000066842883825,1,,0,0.05460000829771161,1,,0,hover,0.009599985787644982,1
1787925356.5203805,,0.051820993423461914,19.297198566387397,,20.75440000044182,0.0043000036384910345,1,4.231600003549829,1,0.05830000736750662,1,16.44879998639226,1,hover,0.010199990356341004,1
1787925356.531704,,0.01132345199584961,88.31229207899945,,0.08450000314041972,0.0049000082071870565,1,,0,0.05569998756982386,1,,0,hover,0.010799994925037026,1
1787925356.5823216,,0.05061769485473633,19.755937185006548,,17.03380001708865,0.0037999998312443495,1,,0,0.056899996707215905,1,16.95710001513362,1,hover,0.009799987310543656,1
1787925356.5972917,,0.014970064163208008,66.79998088837216,,0.07890001870691776,0.0043000036384910345,1,,0,0.05120001151226461,1,,0,hover,0.010799994925037026,1
1787925356.6678584,,0.07056665420532227,14.17099919588618,,23.346000001765788,0.005299982149153948,1,4.938700003549457,1,0.06810002378188074,1,18.32159998593852,1,hover,0.011399999493733048,1
1787925356.6778321,,0.009973764419555664,100.26304592068463,,0.07939999341033399,0.004599976819008589,1,,0,0.05289999535307288,1,,0,hover,0.010000017937272787,1
1787925356.7327302,,0.05489802360534668,18.21559200726139,,24.457299994537607,0.0037999998312443495,1,,0,0.055599986808374524,1,24.382399977184832,1,hover,0.008600007276982069,1
1787925356.7407255,,0.007995367050170898,125.07243178768451,,0.14659998123534024,0.007499998901039362,1,,0,0.09799998952075839,1,,0,hover,0.019500002963468432,1
