t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1790248614.5605283,10,,,2.5434494018554688,0.18799999998009298,,0,,,0,0,,,no_face,0,0.01199999860546086,1,,0,,0,0,,0,hover,0.05900000178371556,1,,
1790248614.6419978,18,0.08146953582763672,12.274526788954311,3.7903785705566406,46.387799999138224,,0,,,0,0,,,no_face,0,0.009999999747378752,1,,0,,0,0,46.280799999294686,1,hover,0.043599999116850086,1,,
1790248614.6531487,30,0.011150836944580078,89.67936711567243,2.3033618927001953,0.055500000598840415,,0,,,0,0,,,no_face,0,0.005599998985417187,1,,0,,0,0,,0,hover,0.018700000509852543,1,,
1790248614.7233028,33,0.07015419006347656,14.254316087110192,0.6780624389648438,59.36399999882269,,0,,,0,0,,,no_face,0,0.004399998942972161,1,17.84869999937655,1,,0,0,41.46760000003269,1,hover,0.020200001017656177,1,,
1790248614.7414858,47,0.018182992935180664,54.99644660066872,1.6171932220458984,0.07279999954334926,,0,,,0,0,,,no_face,0,0.006300000677583739,1,,0,,0,0,,0,hover,0.025800000003073364,1,,
1790248614.7863762,50,0.044890403747558594,22.276475961844874,3.6249160766601562,30.601000000388012,,0,,,0,0,,,no_face,0,0.00650000038149301,1,,0,,0,0,30.479000000923406,1,hover,0.05899999996472616,1,,
1790248614.796145,61,0.00976872444152832,102.36751031166865,3.9894580841064453,0.057499999456922524,,0,,,0,0,,,no_face,0,0.006300000677583739,1,,0,,0,0,,0,hover,0.019799999790848233,1,,
1790248614.8410208,64,0.0448758602142334,22.283695403856065,1.4224052429199219,33.7876999983564,,0,,,0,0,,,no_face,0,0.005399999281507917,1,6.67040000007546,1,,0,0,27.06189999844355,1,hover,0.02099999983329326,1,,
1790248614.845797,81,0.0047762393951416016,209.36973992911695,1.5575885772705078,0.0717999992048135,,0,,,0,0,,,no_face,0,0.004699999408330768,1,,0,,0,0,,0,hover,0.020200001017656177,1,,
1790248614.880003,84,0.03420591354370117,29.234711089426362,2.0151138305664062,26.917899998807115,,0,,,0,0,,,no_face,0,0.0039000005926936865,1,,0,,0,0,26.873799999520998,1,hover,0.01720000000204891,1,,
1790248614.885282,98,0.005279064178466797,189.42751332309638,1.9161701202392578,0.10209999891230837,,0,,,0,0,,,no_face,0,0.009199999112752266,1,,0,,0,0,,0,hover,0.03859999924316071,1,,
1790248614.926515,100,0.041233062744140625,24.2523822740309,2.019166946411133,35.584700000981684,,0,,,0,0,,,no_face,0,0.0037999998312443495,1,8.14160000118136,1,,0,0,27.408899999500136,1,hover,0.014000001101521775,1,,
1790248614.9313004,117,0.004785299301147461,208.97334462657565,1.7931461334228516,0.0746000005165115,,0,,,0,0,,,no_face,0,0.007700000423938036,1,,0,,0,0,,0,hover,0.022199999875738285,1,,
