t,event,latency_ms
1790262197.1922305,llm_explanation,1562.4207000000752
1790262198.148502,llm_explanation,983.4193000024243
1790262198.9618175,llm_explanation,792.2805000016524
1790262200.329078,llm_explanation,1406.0874000024342
1790262203.0740972,llm_explanation,2722.998400000506
1790262205.235674,llm_explanation,2154.9311999988277
1790262209.1982322,llm_explanation,4014.866500001517
1790262211.4800527,llm_explanation,2283.8388999989547
1790262213.4889045,llm_explanation,1960.4499000015494
1790262222.1169047,llm_explanation,1234.0250000015658
1790262226.1819181,llm_explanation,4031.3390999981493
1790262228.833465,llm_explanation,2633.292500002426
1790262231.749378,llm_explanation,2941.301500002737
1790262234.579904,llm_explanation,2827.4399999972957
1790262236.891164,llm_explanation,2292.7534000009473
1790262238.9415984,video_reopen,
