t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm,actuation_suppressed,bbox_area,delta_s,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
1790262229.6764956,938,9.01,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,87.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262229.7105858,939,3.45,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,87.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262229.750862,940,14.35,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,87.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262229.8128462,941,4.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,87.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262229.845158,942,6.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,87.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262229.879874,943,3.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,87.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262229.922917,944,16.12,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,87.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262229.9749968,945,1.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.0128958,946,1.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.0457296,947,2.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.0860047,948,9.97,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.1458244,949,1.04,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.178563,950,3.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.2124724,951,1.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.252302,952,10.01,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.284767,953,2.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.3466825,954,0.96,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.3806047,955,3.99,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.4476845,956,35.65,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.4774172,957,4.29,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.5532339,959,11.97,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.5823445,960,5.98,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.6681228,961,27.93,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.6964903,962,20.38,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.7652016,964,22.94,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.811601,965,1.99,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.889513,967,14.96,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262230.9154422,968,7.98,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,80.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.0074842,969,29.43,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,80.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.0350258,970,23.55,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,80.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.1147022,972,40.89,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,80.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.14562,973,3.99,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,80.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.2118797,975,4.99,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,70.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.247784,976,3.99,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,70.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.3245435,977,42.54,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,70.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.3494766,978,5.98,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,70.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.4150314,980,6.57,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,60.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.4785984,981,1.99,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,60.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.5547643,983,12.23,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,60.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.580698,984,5.98,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,50.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.6484492,985,6.98,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,50.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.6806362,986,3.98,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,50.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.7575364,988,14.72,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,50.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.812767,989,2.51,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,40.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.8850567,991,3.99,0,0,5,FORWARD,settle,svm,0,0,1,face,,FACE,ground,0,,86.0,40.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.9139793,992,4.99,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,40.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262231.9895275,993,10.98,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,40.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.0139735,994,2.99,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.1167843,996,37.98,0,0,5,FORWARD,settle,svm,1,0,0,face,,HOVER,ground,0,,86.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.1461499,997,3.5,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.2609582,1000,19.39,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.2858973,1001,3.99,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,30.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.3465605,1002,1.0,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.3793802,1003,1.99,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.4222653,1004,12.97,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.478374,1005,1.55,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.5171058,1006,3.4,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.5461707,1007,0.99,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.5873294,1008,7.29,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.6482038,1009,2.01,0,0,5,FORWARD,settle,svm,0,0,0,face,,HOVER,ground,0,,86.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.6861036,1010,9.01,0,0,5,FORWARD,settle,svm,0,0,0,hover,,HOVER,ground,0,,86.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.7115874,1011,1.0,0,0,5,FORWARD,settle,svm,0,0,0,hover,,HOVER,ground,0,,86.0,-10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.7599194,1012,14.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,,HOVER,ground,0,,86.0,-10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.8146114,1013,3.86,0,0,5,FORWARD,settle,svm,0,0,0,hover,,HOVER,ground,0,,86.0,-20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.8749506,1014,31.26,0,0,5,FORWARD,settle,svm,1,0,0,hover,,HOVER,ground,0,,86.0,-20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790262232.8829284,1015,5.98,0,0,5,FORWARD,settle,svm,0,0,0,hover,,HOVER,ground,0,,86.0,-20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
