t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms_ran,assoc_ok,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790262195.5537112,12,,,0.9968280792236328,0.09230000068782829,,0,,0,0,no_face,0,0.006000002031214535,1,,0,,0,0,,0,hover,0.037599998904624954,1
1790262195.6110716,20,0.05736041069030762,17.43362692082282,3.020763397216797,32.91000000172062,,0,,0,0,no_face,0,0.0039000005926936865,1,,0,,0,0,32.855400000698864,1,hover,0.022100000933278352,1
1790262195.6200466,31,0.008975028991699219,111.42025289554776,0.9980201721191406,0.04329999865149148,,0,,0,0,no_face,0,0.005300000339047983,1,,0,,0,0,,0,hover,0.015000001440057531,1
1790262195.67091,33,0.05086326599121094,19.66055424307196,2.0172595977783203,43.00579999835463,,0,,0,0,no_face,0,0.0036999990697950125,1,14.520900000206893,1,,0,0,28.448799999750918,1,hover,0.014299999747890979,1
1790262195.6839073,47,0.01299738883972168,76.93853067962947,6.0176849365234375,0.04350000017439015,,0,,0,0,no_face,0,0.0041000021155923605,1,,0,,0,0,,0,hover,0.013699998817173764,1
1790262195.722773,50,0.03886580467224121,25.729558629573965,2.997875213623047,28.41499999703956,,0,,0,0,no_face,0,0.0029000002541579306,1,,0,,0,0,28.379799998219823,1,hover,0.013699998817173764,1
1790262195.7317479,62,0.008974790573120117,111.42321281513163,1.962423324584961,0.04239999907440506,,0,,0,0,no_face,0,0.004400000761961564,1,,0,,0,0,,0,hover,0.014299999747890979,1
1790262195.7783475,64,0.046599626541137695,21.459399446414228,3.988027572631836,39.680500001850305,,0,,0,0,no_face,0,0.0032999996619764715,1,8.131499998853542,1,,0,0,31.513000001723412,1,hover,0.015199999324977398,1
1790262195.7836413,81,0.005293846130371094,188.89857683300306,2.584218978881836,0.06270000085351057,,0,,0,0,no_face,0,0.006599999323952943,1,,0,,0,0,,0,hover,0.028300000849412754,1
1790262195.8154888,84,0.031847476959228516,31.399661620925603,3.0319690704345703,22.638599999481812,,0,,0,0,no_face,0,0.0036000019463244826,1,,0,,0,0,22.60060000116937,1,hover,0.015399997209897265,1
1790262195.820507,95,0.0050182342529296875,199.27328012162675,2.9916763305664062,0.03850000211969018,,0,,0,0,no_face,0,0.003999997716164216,1,,0,,0,0,,0,hover,0.013299999409355223,1
1790262195.858404,98,0.03789687156677246,26.387402407031097,0.9701251983642578,31.588099998771213,,0,,0,0,no_face,0,0.00839999847812578,1,6.587299998500384,1,,0,0,24.950399998488137,1,hover,0.021899999410379678,1
1790262195.8623934,115,0.003989458084106445,250.66061076913883,0.99945068359375,0.050199996621813625,,0,,0,0,no_face,0,0.004300000000512227,1,,0,,0,0,,0,hover,0.01720000000204891,1
1790262195.8933356,117,0.030942201614379883,32.3183208636087,2.856016159057617,24.172199999156874,,0,,0,0,no_face,0,0.004400000761961564,1,,0,,0,0,24.12959999855957,1,hover,0.01599999814061448,1
1790262195.8983219,126,0.004986286163330078,200.5500621593191,10.027408599853516,0.03840000135824084,,0,,0,0,no_face,0,0.0035999983083456755,1,,0,,0,0,,0,hover,0.012699998478638008,1
1790262195.9375405,127,0.03921866416931152,25.498063770935286,0.5097389221191406,27.737500000512227,,0,,0,0,no_face,0,0.0032999996619764715,1,5.232999999861931,1,,0,0,22.469100000307662,1,hover,0.015300000086426735,1
1790262195.9415295,128,0.003988981246948242,250.69057438288206,1.995086669921875,0.06690000009257346,,0,,0,0,no_face,0,0.006999998731771484,1,,0,,0,0,,0,hover,0.027000001864507794,1
1790262196.0358233,129,0.09429383277893066,10.605147447388982,2.9935836791992188,23.175599999376573,,0,,0,0,no_face,0,0.0031999989005271345,1,,0,,0,0,23.13549999962561,1,hover,0.015500001609325409,1
1790262196.0497844,130,0.013961076736450195,71.62771316836587,9.973287582397461,0.045599997974932194,,0,,0,0,no_face,0,0.0037999998312443495,1,,0,,0,0,,0,hover,0.015099998563528061,1
1790262196.1041715,131,0.05438709259033203,18.38671553069491,2.0258426666259766,28.193199999805074,,0,,0,0,no_face,0,0.0032999996619764715,1,5.351400002837181,1,,0,0,22.809599999163765,1,hover,0.01349999729427509,1
1790262196.110629,132,0.00645756721496582,154.8570795643345,2.1314620971679688,0.045099997805664316,,0,,0,0,no_face,0,0.00419999923906289,1,,0,,0,0,,0,hover,0.015199999324977398,1
1790262196.2073476,133,0.09671854972839355,10.339278275038394,13.661861419677734,18.720200001553167,,0,,0,0,no_face,0,0.0033999967854470015,1,,0,,0,0,18.683899997995468,1,hover,0.01420000262442045,1
1790262196.2202806,134,0.012933015823364258,77.32148585123053,13.92984390258789,0.0351999988197349,,0,,0,0,no_face,0,0.0036000019463244826,1,,0,,0,0,,0,hover,0.011899999663000926,1
1790262196.2763264,135,0.0560457706451416,17.842559545332726,8.974552154541016,25.981700000556884,,0,,0,0,no_face,0,0.0034000004234258085,1,6.610699998418568,1,,0,0,19.334600001457147,1,hover,0.015500001609325409,1
1790262196.2812815,136,0.0049550533294677734,201.81417504691333,7.49516487121582,0.04510000144364312,,0,,0,0,no_face,0,0.0039000005926936865,1,,0,,0,0,,0,hover,0.016599999071331695,1
1790262196.3388793,137,0.05759787559509277,17.3617514477426,1.9958019256591797,20.037300000694813,,0,,0,0,no_face,0,0.0034000004234258085,1,,0,,0,0,19.997600000351667,1,hover,0.01469999915570952,1
1790262196.3763642,138,0.03748488426208496,26.67741997036057,2.028226852416992,0.0774000000092201,,0,,0,0,no_face,0,0.005599998985417187,1,,0,,0,0,,0,hover,0.03610000203480013,1
1790262196.4370396,139,0.06067538261413574,16.48114864572814,1.9948482513427734,27.538900001673028,,0,,0,0,no_face,0,0.0038000034692231566,1,5.856199997651856,1,,0,0,21.64470000207075,1,hover,0.01599999814061448,1
1790262196.4406276,140,0.003587961196899414,278.70981460562166,1.0001659393310547,0.04180000178166665,,0,,0,0,no_face,0,0.0037999998312443495,1,,0,,0,0,,0,hover,0.014099998224992305,1
1790262196.5269425,141,0.08631491661071777,11.585483011123356,0.9965896606445312,19.86879999822122,,0,,0,0,no_face,0,0.0035000011848751456,1,,0,,0,0,19.826799998554634,1,hover,0.015500001609325409,1
1790262196.5399373,142,0.012994766235351562,76.9540584177308,1.028299331665039,0.04430000262800604,,0,,0,0,no_face,0,0.0035999983083456755,1,,0,,0,0,,0,hover,0.015400000847876072,1
