t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,rule_infer_ms,rule_infer_ms_ran
1787922358.3377025,7,,,0.9975433349609375,0.04749998333863914,0.0049000082071870565,1,,0,,0,0,,0,hover,0.02139998832717538,1,,
1787922358.4055202,19,0.06781768798828125,14.745415682303971,1.0061264038085938,33.228699991013855,0.010399991879239678,1,,0,,0,0,33.13139997771941,1,hover,0.054899981478229165,1,,
1787922358.4214802,37,0.015959978103637695,62.65672756606564,2.992868423461914,0.05490001058205962,0.007299997378140688,1,,0,,0,0,,0,hover,0.024500011932104826,1,,
1787922358.4737473,42,0.05226707458496094,19.132503740466372,3.3707618713378906,33.1925000064075,0.006299989763647318,1,8.148599998094141,1,,0,0,24.998499982757494,1,hover,0.03270001616328955,1,,
1787922358.488678,60,0.01493072509765625,66.9759836484415,1.9962787628173828,0.04919999628327787,0.011399999493733048,1,,0,,0,0,,0,hover,0.0185999961104244,1,,
1787922358.5333512,66,0.04467320442199707,22.38478329321727,2.991914749145508,27.43799999007024,0.006299989763647318,1,,0,,0,0,27.389399998355657,1,hover,0.02370000584051013,1,,
1787922358.5465024,81,0.013151168823242188,76.03886874546772,2.0253658294677734,0.10309999925084412,0.012600008631125093,1,,0,,0,0,,0,hover,0.04529999569058418,1,,
1787922358.593062,86,0.04655957221984863,21.477860562767237,2.1970272064208984,32.929299981333315,0.012299977242946625,1,5.3155999921727926,1,,0,0,27.53849999862723,1,hover,0.04770001396536827,1,,
1787922358.6040292,104,0.010967254638671875,91.18052173913044,0.9949207305908203,0.032199983252212405,0.0046000059228390455,1,,0,,0,0,,0,hover,0.013499986380338669,1,,
1787922358.639968,109,0.03593873977661133,27.825127041621887,1.0349750518798828,22.414700011722744,0.0048000074457377195,1,,0,,0,0,22.383300005458295,1,hover,0.014699995517730713,1,,
1787922358.6499085,125,0.009940624237060547,100.59730416846548,3.9916038513183594,0.051700015319511294,0.007800001185387373,1,,0,,0,0,,0,hover,0.023299973690882325,1,,
