t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,rule_infer_ms,rule_infer_ms_ran
1789945648.3806193,12,,,2.992868423461914,0.09279994992539287,0.010000017937272787,1,,0,,0,0,,0,hover,0.045599997974932194,1,,
1789945648.4748495,22,0.09423017501831055,10.612311818434835,15.996694564819336,42.22280002431944,0.004800036549568176,1,,0,,0,0,42.18250000849366,1,hover,0.02099998528137803,1,,
1789945648.4967904,40,0.021940946578979492,45.57688504460648,0.9512901306152344,0.03419996937736869,0.005799985956400633,1,,0,,0,0,,0,hover,0.014399993233382702,1,,
1789945648.5740936,45,0.07730317115783691,12.936079917836864,0.9968280792236328,43.41220000060275,0.006099988240748644,1,14.359199965838343,1,,0,0,29.01290002046153,1,hover,0.021799991372972727,1,,
1789945648.5940433,62,0.019949674606323242,50.126130863459814,4.984855651855469,0.05829997826367617,0.009100011084228754,1,,0,,0,0,,0,hover,0.02440001117065549,1,,
1789945648.6318386,68,0.037795305252075195,26.458312568995428,0.9973049163818359,23.67129997583106,0.004999979864805937,1,,0,,0,0,23.63739995053038,1,hover,0.016600009985268116,1,,
1789945648.6418393,84,0.01000070571899414,99.99294330806275,1.7478466033935547,0.03850000211969018,0.005499983672052622,1,,0,,0,0,,0,hover,0.017200014553964138,1,,
1789945648.68678,88,0.04494071006774902,22.25153982864267,2.992391586303711,34.70039996318519,0.006499991286545992,1,7.497200043871999,1,,0,0,26.925799960736185,1,hover,0.021799991372972727,1,,
1789945648.69775,106,0.010970115661621094,91.15674171955142,1.9943714141845703,0.3342999843880534,0.005399982910603285,1,,0,,0,0,,0,hover,0.01650000922381878,1,,
1789945648.735158,111,0.037407875061035156,26.732339069471,1.9943714141845703,24.361499992664903,0.005399982910603285,1,,0,,0,0,24.073400010820478,1,hover,0.01780001912266016,1,,
1789945648.7451305,127,0.009972572326660156,100.27503107965956,3.9751529693603516,0.1221999991685152,0.005099980626255274,1,,0,,0,0,,0,hover,0.0171000137925148,1,,
1789945648.791917,128,0.04678654670715332,21.373665516696647,2.813100814819336,29.372500022873282,0.004699977580457926,1,5.1327000255696476,1,,0,0,24.127600016072392,1,hover,0.016000005416572094,1,,
1789945648.838633,129,0.04671597480773926,21.40595383304158,10.255098342895508,0.29479997465386987,0.006699992809444666,1,,0,,0,0,,0,hover,0.025900022592395544,1,,
1789945648.8794863,130,0.040853261947631836,24.47784956025935,1.9903182983398438,18.423100002110004,0.004699977580457926,1,,0,,0,0,18.30220001284033,1,hover,0.018400023691356182,1,,
1789945648.8994327,131,0.01994633674621582,50.134519071012775,7.977962493896484,0.13449997641146183,0.004799978341907263,1,,0,,0,0,,0,hover,0.01750001683831215,1,,
1789945648.9522896,132,0.0528569221496582,18.91899791608404,4.98652458190918,22.74270000634715,0.004900037311017513,1,4.827000026125461,1,,0,0,17.79850001912564,1,hover,0.015099998563528061,1,,
1789945648.9947717,133,0.04248213768005371,23.53930509644579,0.9942054748535156,0.13940001372247934,0.004799978341907263,1,,0,,0,0,,0,hover,0.015300000086426735,1,,
1789945649.0522275,134,0.05745577812194824,17.40468987953707,2.6857852935791016,19.42059997236356,0.004499976057559252,1,,0,,0,0,19.301299995277077,1,hover,0.017700018361210823,1,,
1789945649.0694022,135,0.017174720764160156,58.22510966738853,9.155035018920898,0.1379000023007393,0.005499983672052622,1,,0,,0,0,,0,hover,0.017900019884109497,1,,
1789945649.1221893,136,0.052787065505981445,18.944034687563516,3.0126571655273438,24.734699982218444,0.004799978341907263,1,5.379499983973801,1,,0,0,19.233099999837577,1,hover,0.01680001150816679,1,,
1789945649.1626596,137,0.04047036170959473,24.70944063153554,3.5305023193359375,0.1449999981559813,0.004400033503770828,1,,0,,0,0,,0,hover,0.018499966245144606,1,,
1789945649.2114801,138,0.04882049560546875,20.483200500078137,3.9865970611572266,17.889400012791157,0.00500003807246685,1,,0,,0,0,17.600999970454723,1,hover,0.05819997750222683,1,,
1789945649.2294314,139,0.017951250076293945,55.70642689227418,1.9941329956054688,0.12390001211315393,0.004599976819008589,1,,0,,0,0,,0,hover,0.014199991710484028,1,,
1789945649.28188,140,0.05244851112365723,19.06631815805623,1.0273456573486328,22.860000026412308,0.0048999791033566,1,5.027199978940189,1,,0,0,17.715200025122613,1,hover,0.015100056771188974,1,,
1789945649.3327775,141,0.05089759826660156,19.64729248641559,5.985021591186523,0.1238000113517046,0.007099995855242014,1,,0,,0,0,,0,hover,0.015300000086426735,1,,
1789945649.3805828,142,0.0478053092956543,20.918178644456635,1.9617080688476562,17.889700015075505,0.003999972250312567,1,,0,,0,0,17.77640002546832,1,hover,0.01409999094903469,1,,
1789945649.3945441,143,0.013961315155029297,71.62648997575054,2.9921531677246094,0.11019996600225568,0.004700035788118839,1,,0,,0,0,,0,hover,0.01309998333454132,1,,
1789945649.427264,144,0.03271985054016113,30.562486792920275,0.0,23.198500042781234,0.004800036549568176,1,5.082300049252808,1,,0,0,17.95549999224022,1,hover,0.01829996472224593,1,,
1789945649.5002222,145,0.07295823097229004,13.706472685443892,8.190155029296875,0.10490004206076264,0.004500034265220165,1,,0,,0,0,,0,hover,0.014199991710484028,1,,
1789945649.552336,146,0.05211377143859863,19.188785850554257,4.987001419067383,19.845699949655682,0.004400033503770828,1,,0,,0,0,19.726299971807748,1,hover,0.015199999324977398,1,,
1789945649.5623305,147,0.0099945068359375,100.05496183206107,2.026796340942383,0.16160000814124942,0.008100003469735384,1,,0,,0,0,,0,hover,0.026799971237778664,1,,
1789945649.6211593,148,0.05882883071899414,16.998468060272508,0.9987354278564453,26.167700008954853,0.004799978341907263,1,6.208100006915629,1,,0,0,19.830500008538365,1,hover,0.01580000389367342,1,,
1789945649.6644835,149,0.04332423210144043,23.08177090498858,3.4224987030029297,0.20300003234297037,0.005399982910603285,1,,0,,0,0,,0,hover,0.019300030544400215,1,,
1789945649.7161498,150,0.051666259765625,19.354991139988186,1.995086669921875,19.56889999564737,0.005099980626255274,1,,0,,0,0,19.43719998234883,1,hover,0.01650000922381878,1,,
1789945649.7291431,151,0.012993335723876953,76.96253073507285,2.0232200622558594,0.14399999054148793,0.004999979864805937,1,,0,,0,0,,0,hover,0.01810002140700817,1,,
1789945649.7854095,152,0.05626630783081055,17.772625191738914,2.0296573638916016,23.038199986331165,0.004199973773211241,1,4.926700028590858,1,,0,0,18.000799987930804,1,hover,0.013699987903237343,1,,
1789945649.8289385,153,0.04352903366088867,22.973172521826765,0.9965896606445312,0.17040001694113016,0.006299989763647318,1,,0,,0,0,,0,hover,0.020200037397444248,1,,
1789945649.8818283,154,0.05288982391357422,18.90722876359112,2.0265579223632812,18.799499957822263,0.004200031980872154,1,,0,,0,0,18.67829996626824,1,hover,0.014599994756281376,1,,
1789945649.9037485,155,0.021920204162597656,45.620013051990426,9.95182991027832,0.2607000060379505,0.00689999433234334,1,,0,,0,0,,0,hover,0.038300000596791506,1,,
1789945649.954273,156,0.05052447319030762,19.792388457636317,1.0247230529785156,24.81079997960478,0.004900037311017513,1,5.469599971547723,1,,0,0,19.226200005505234,1,hover,0.014999997802078724,1,,
1789945649.9960105,157,0.04173755645751953,23.9592368330858,2.9926300048828125,0.1294999965466559,0.004700035788118839,1,,0,,0,0,,0,hover,0.028099981136620045,1,,
1789945650.049576,158,0.05356550216674805,18.668731917924067,0.9996891021728516,20.195000048261136,0.004300032742321491,1,,0,,0,0,20.072500046808273,1,hover,0.015600002370774746,1,,
1789945650.0728767,159,0.023300647735595703,42.91726184385552,11.699676513671875,0.112100038677454,0.004400033503770828,1,,0,,0,0,,0,hover,0.01409999094903469,1,,
1789945650.123954,160,0.05107736587524414,19.578143525304107,1.9941329956054688,26.705700031016022,0.005999987479299307,1,6.139099947176874,1,,0,0,20.424300048034638,1,hover,0.022799998987466097,1,,
1789945650.1649563,161,0.04100227355957031,24.388891473228824,2.9916763305664062,0.03549997927621007,0.0037999707274138927,1,,0,,0,0,,0,hover,0.01379998866468668,1,,
1789945650.2188518,162,0.05389547348022461,18.554433896325655,3.0241012573242188,21.64629998151213,0.004399975296109915,1,,0,,0,0,21.611000003758818,1,hover,0.01610000617802143,1,,
1789945650.2308521,163,0.012000322341918945,83.3310949079133,1.0280609130859375,0.036800047382712364,0.004800036549568176,1,,0,,0,0,,0,hover,0.015300000086426735,1,,
1789945650.2936106,164,0.0627584457397461,15.93411035300196,2.4945735931396484,29.34629999799654,0.005599984433501959,1,6.340099964290857,1,,0,0,22.972000006120652,1,hover,0.01680001150816679,1,,
1789945650.3324258,165,0.03881525993347168,25.763063334213744,1.0983943939208984,0.040300015825778246,0.004600035026669502,1,,0,,0,0,,0,hover,0.015400000847876072,1,,
1789945650.3913443,166,0.05891847610473633,16.972604624436514,3.425121307373047,24.93249997496605,0.005999987479299307,1,,0,,0,0,24.88219999941066,1,hover,0.022299995180219412,1,,
1789945650.4011922,167,0.009847879409790039,101.54470403098898,8.484601974487305,0.0447999918833375,0.00589998671784997,1,,0,,0,0,,0,hover,0.017900019884109497,1,,
1789945650.443352,168,0.0421597957611084,23.719279990499402,8.894205093383789,31.432599993422627,0.007199996616691351,1,6.101000006310642,1,,0,0,25.288800010457635,1,hover,0.021199986804276705,1,,
1789945650.4988086,169,0.05545663833618164,18.032106344743383,2.0210742950439453,0.047200010158121586,0.006199989002197981,1,,0,,0,0,,0,hover,0.018900027498602867,1,,
1789945650.5586183,170,0.05980968475341797,16.719700231204655,2.027750015258789,24.685499956831336,0.006699992809444666,1,,0,,0,0,24.636899994220585,1,hover,0.021900050342082977,1,,
1789945650.5695891,171,0.010970830917358398,91.15079865261328,5.98454475402832,0.037699996028095484,0.005499983672052622,1,,0,,0,0,,0,hover,0.015300000086426735,1,,
1789945650.6294992,172,0.05991005897521973,16.691687791755047,1.9602775573730469,31.616299995221198,0.004700035788118839,1,5.105899996124208,1,,0,0,26.481500011868775,1,hover,0.014699995517730713,1,,
1789945650.6674297,173,0.03793048858642578,26.364015789606015,3.0210018157958984,0.04509999416768551,0.006299989763647318,1,,0,,0,0,,0,hover,0.01769996015354991,1,,
1789945650.724511,174,0.05708122253417969,17.51889598021853,2.9633045196533203,23.48929998697713,0.004499976057559252,1,,0,,0,0,23.454299953300506,1,hover,0.014899997040629387,1,,
1789945650.7334871,175,0.008976221084594727,111.40545565619273,2.9921531677246094,0.035800039768218994,0.0048999791033566,1,,0,,0,0,,0,hover,0.014199991710484028,1,,
