t,bat,h,yaw,vgx,vgy,vgz,tof
1790268660.7758293,47.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268661.7768078,47.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268662.777927,47.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268663.7800584,46.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268664.8616695,46.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268665.8722403,46.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268666.8803775,46.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268667.9353664,45.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268668.939795,45.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268669.960823,45.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268671.025437,45.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268672.0486422,45.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268673.0743995,45.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268674.0755246,45.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268675.077566,45.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268676.126584,44.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268677.1312916,44.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268678.144394,44.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268679.1602929,44.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268680.1677837,44.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268681.1695616,44.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268682.1956034,44.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268683.2243502,44.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268684.2259927,43.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268685.2265048,43.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268686.2294853,43.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268687.2295327,43.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268688.2299485,43.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268689.2318597,42.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268690.2572386,42.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268691.2584355,42.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268692.2604017,42.0,70.0,-175.0,0.0,0.0,0.0,86.0
1790268693.2604709,42.0,70.0,-175.0,0.0,0.0,0.0,86.0
1790268694.2605472,42.0,70.0,-175.0,0.0,0.0,0.0,87.0
1790268695.2606666,41.0,70.0,-175.0,0.0,0.0,0.0,86.0
1790268696.2686834,41.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268697.2714007,41.0,70.0,-175.0,0.0,0.0,0.0,85.0
1790268698.273765,41.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268699.274118,40.0,70.0,-175.0,0.0,0.0,0.0,77.0
1790268700.2844331,40.0,70.0,-175.0,0.0,0.0,0.0,78.0
1790268701.2874002,40.0,70.0,-175.0,0.0,0.0,0.0,77.0
1790268702.289574,40.0,70.0,-175.0,0.0,0.0,0.0,77.0
1790268703.293468,40.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268704.2937958,40.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268705.2942326,40.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268706.2951822,40.0,70.0,-175.0,0.0,0.0,0.0,86.0
1790268707.3197472,40.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268708.3199935,40.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268709.3202617,40.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268710.3205798,40.0,70.0,-175.0,0.0,0.0,0.0,84.0
1790268711.326817,39.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268712.3273482,39.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268713.3274229,39.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268714.3284998,39.0,70.0,-175.0,0.0,0.0,0.0,79.0
1790268715.330449,38.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268716.3329265,38.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268717.3353336,38.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268718.3406072,38.0,70.0,-175.0,0.0,0.0,0.0,81.0
1790268719.3423538,38.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268720.3596888,38.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268721.3811202,37.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268722.4288182,37.0,70.0,-175.0,0.0,0.0,0.0,78.0
1790268723.438619,37.0,70.0,-175.0,0.0,0.0,0.0,80.0
1790268724.4461362,37.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268725.4988556,36.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268726.5031078,36.0,70.0,-175.0,0.0,0.0,0.0,82.0
1790268727.5109782,36.0,70.0,-175.0,0.0,0.0,0.0,83.0
1790268728.5121942,36.0,70.0,-175.0,0.0,0.0,0.0,85.0
1790268729.5214188,35.0,70.0,-175.0,0.0,0.0,0.0,80.0
