t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1790268386.5518267,8,,,0.9980201721191406,0.05949999831500463,0.006199999916134402,1,,0,,0,0,,0,hover,0.028100002964492887,1,,
1790268386.6300251,18,0.07819843292236328,12.787980048050539,2.995729446411133,45.89190000115195,0.01049999991664663,1,,0,,0,0,45.79860000012559,1,hover,0.056400000175926834,1,,
1790268386.6409922,33,0.010967016220092773,91.18250396747756,1.9946098327636719,0.06209999992279336,0.00920000093174167,1,,0,,0,0,,0,hover,0.027999998565064743,1,,
1790268386.6878707,37,0.04687857627868652,21.33170585333354,1.995086669921875,36.26839999924414,0.004999998054699972,1,10.144699997908901,1,,0,0,26.093399999808753,1,hover,0.01840000186348334,1,,
1790268386.697354,51,0.00948333740234375,105.44810941271118,4.98652458190918,0.03319999814266339,0.004399997123982757,1,,0,,0,0,,0,hover,0.015700003132224083,1,,
1790268386.7494648,53,0.05211067199707031,19.18992716225614,4.989385604858398,26.987900000676746,0.008600000001024455,1,,0,,0,0,26.917900002445094,1,hover,0.04099999932805076,1,,
1790268386.75844,64,0.00897526741027832,111.41729313321822,1.9948482513427734,0.03769999966607429,0.005300000339047983,1,,0,,0,0,,0,hover,0.018599999748403206,1,,
1790268386.8003278,66,0.041887760162353516,23.873322329102397,2.9909610748291016,34.912000002805144,0.004699999408330768,1,8.09550000121817,1,,0,0,26.790200001414632,1,hover,0.015400000847876072,1,,
1790268386.8073094,79,0.006981611251831055,143.23341187719836,0.9977817535400391,0.038399997720262036,0.006900001608300954,1,,0,,0,0,,0,hover,0.017700000171316788,1,,
1790268386.8377354,81,0.030426025390625,32.866599799398195,2.9904842376708984,24.448399999528192,0.004400000761961564,1,,0,,0,0,24.41719999842462,1,hover,0.015400000847876072,1,,
1790268386.8427217,95,0.004986286163330078,200.5500621593191,0.9973049163818359,0.048800000513438135,0.007599999662488699,1,,0,,0,0,,0,hover,0.02350000067963265,1,,
1790268386.8875723,97,0.04485058784484863,22.29625180074103,1.993417739868164,38.381000002118526,0.005300000339047983,1,5.951400002231821,1,,0,0,32.39749999920605,1,hover,0.01880000127130188,1,,
1790268386.891612,116,0.004039764404296875,247.5391879131256,2.045154571533203,0.047599998652003706,0.00419999923906289,1,,0,,0,0,,0,hover,0.0289999989036005,1,,
1790268386.9234807,118,0.031868696212768555,31.378754666447215,2.991199493408203,26.156200001423713,0.004800000169780105,1,,0,,0,0,26.12320000116597,1,hover,0.01759999940986745,1,,
1790268386.9274697,126,0.003988981246948242,250.69057438288206,12.965202331542969,0.0486999997519888,0.008500002877553925,1,,0,,0,0,,0,hover,0.020799998310394585,1,,
1790268386.9753418,127,0.047872066497802734,20.88900841675382,0.9968280792236328,29.226599999674363,0.006999998731771484,1,6.5328000018780585,1,,0,0,22.65149999948335,1,hover,0.02710000262595713,1,,
1790268386.9803288,128,0.004987001419067383,200.5212984653631,0.0,0.05149999924469739,0.008000002708286047,1,,0,,0,0,,0,hover,0.023799999326001853,1,,
1790268387.0336924,129,0.05336356163024902,18.73937888420761,1.9955635070800781,19.720799999049632,0.0039000005926936865,1,,0,,0,0,19.690799999807496,1,hover,0.01590000101714395,1,,
1790268387.0828006,130,0.049108266830444336,20.36317028765627,0.995635986328125,0.03850000211969018,0.005199999577598646,1,,0,,0,0,,0,hover,0.017800000932766125,1,,
1790268387.144435,131,0.06163430213928223,16.224731444840298,1.9953250885009766,30.83909999986645,0.004399997123982757,1,4.818699999304954,1,,0,0,25.99209999971208,1,hover,0.017300000763498247,1,,
1790268387.1494253,132,0.004990339279174805,200.38717691462423,0.9977817535400391,0.03050000304938294,0.0038999969547148794,1,,0,,0,0,,0,hover,0.014700002793688327,1,,
1790268387.2092052,133,0.05977988243103027,16.7280355754083,2.9926300048828125,26.174999999057036,0.005300000339047983,1,,0,,0,0,26.13520000159042,1,hover,0.020399998902576044,1,,
1790268387.2505841,134,0.04137897491455078,24.16686256885386,5.002260208129883,0.03430000288062729,0.00419999923906289,1,,0,,0,0,,0,hover,0.01710000287857838,1,,
1790268387.3115933,135,0.06100916862487793,16.390978971515217,1.9969940185546875,30.527400002029026,0.004399997123982757,1,5.052699998486787,1,,0,0,25.44810000108555,1,hover,0.016600002709310502,1,,
1790268387.3291607,136,0.01756739616394043,56.92363231681664,17.56739616394043,0.03389999983482994,0.005199999577598646,1,,0,,0,0,,0,hover,0.015599998732795939,1,,
1790268387.3685322,137,0.039371490478515625,25.399089235539194,1.9953250885009766,18.633200001204386,0.0036000019463244826,1,,0,,0,0,18.604000000777887,1,hover,0.015699999494245276,1,,
1790268387.4208243,138,0.0522921085357666,19.12334438218384,6.524085998535156,0.037999998312443495,0.004500001523410901,1,,0,,0,0,,0,hover,0.018699996871873736,1,,
1790268387.4746814,139,0.05385708808898926,18.567658139030424,3.0286312103271484,23.746300001221243,0.004400000761961564,1,4.7424999975191895,1,,0,0,18.976500003191177,1,hover,0.01750000228639692,1,,
1790268387.48166,140,0.006978511810302734,143.2970276733857,1.0304450988769531,0.030399998649954796,0.00419999923906289,1,,0,,0,0,,0,hover,0.014799999917158857,1,,
1790268387.5420394,141,0.0603795051574707,16.561911154985193,2.0303726196289062,21.133300000656163,0.004300000000512227,1,,0,,0,0,21.101399997860426,1,hover,0.01639999754843302,1,,
1790268387.5867755,142,0.04473614692687988,22.353288530513705,2.025604248046875,0.05030000102124177,0.005799996870337054,1,,0,,0,0,,0,hover,0.0259000007645227,1,,
1790268387.6559756,143,0.06920003890991211,14.450858926565742,2.99072265625,33.075600000302074,0.008200000593205914,1,5.606299997452879,1,,0,0,27.415900000050897,1,hover,0.03420000211917795,1,,
1790268387.6600015,144,0.004025936126708984,248.3894350349402,10.009765625,0.029800001357216388,0.004400000761961564,1,,0,,0,0,,0,hover,0.013999997463542968,1,,
1790268387.7084846,145,0.04848313331604004,20.62572964254277,1.9943714141845703,19.5690000000468,0.004400000761961564,1,,0,,0,0,19.536199997673975,1,hover,0.017000002117129043,1,,
1790268387.7240388,146,0.015554189682006836,64.29135946289796,1.9943714141845703,0.049600002967054024,0.019400002202019095,1,,0,,0,0,,0,hover,0.016599999071331695,1,,
1790268387.8115597,147,0.08752083778381348,11.425850406849564,1.9946098327636719,26.186800001596566,0.005000001692678779,1,6.012000001646811,1,,0,0,20.1441999997769,1,hover,0.018700000509852543,1,,
1790268387.8201573,148,0.008597612380981445,116.31136130445634,2.0308494567871094,0.04650000118999742,0.006399997801054269,1,,0,,0,0,,0,hover,0.022300002456177026,1,,
1790268387.8756862,149,0.055528879165649414,18.008647302548248,2.032756805419922,18.009100000199396,0.0038999969547148794,1,,0,,0,0,17.981199998757802,1,hover,0.015300000086426735,1,,
1790268387.9245882,150,0.048902034759521484,20.449046852908197,0.9975433349609375,0.03819999983534217,0.005300000339047983,1,,0,,0,0,,0,hover,0.016900001355679706,1,,
1790268387.9823346,151,0.05774641036987305,17.317093713615684,0.9953975677490234,26.19369999956689,0.005199999577598646,1,6.341500000417,1,,0,0,19.821299996692687,1,hover,0.018500002624932677,1,,
1790268387.9933052,152,0.010970592498779297,91.15277958882079,4.98652458190918,0.03409999771974981,0.004099998477613553,1,,0,,0,0,,0,hover,0.016400001186411828,1,,
1790268388.0417275,153,0.04842233657836914,20.65162630848162,2.027750015258789,18.787999997584848,0.004300000000512227,1,,0,,0,0,18.754799999442184,1,hover,0.01720000000204891,1,,
1790268388.0886924,154,0.04696488380432129,21.292504505419195,1.9941329956054688,0.03460000152699649,0.004699999408330768,1,,0,,0,0,,0,hover,0.016499998309882358,1,,
1790268388.14902,155,0.06032752990722656,16.57618008789402,0.9636878967285156,26.37029999823426,0.004900000931229442,1,4.997299998649396,1,,0,0,21.341499999834923,1,hover,0.01939999856404029,1,,
