t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787927326.9162602,,,,,0.040399987483397126,0.0050000089686363935,1,,0,,0,,0,hover,0.014299992471933365,1
1787927326.9668386,,0.05057835578918457,19.771303048444196,,40.479599992977455,0.0044000043999403715,1,,0,,0,40.4489999928046,1,hover,0.012899981811642647,1
1787927326.9753625,,0.008523941040039062,117.31662564332065,,0.03090000245720148,0.0046000059228390455,1,,0,,0,,0,hover,0.009399984264746308,1
1787927327.0226982,,0.04733562469482422,21.125737886571976,,19.991800014395267,0.0045000051613897085,1,4.963100014720112,1,,0,14.949600008549169,1,hover,0.009399984264746308,1
1787927327.0341609,,0.011462688446044922,87.23956903365365,,0.08850000449456275,0.0048000074457377195,1,,0,,0,,0,hover,0.009199982741847634,1
1787927327.0824401,,0.0482792854309082,20.71281691671029,,15.068199980305508,0.00580001506023109,1,,0,,0,14.97019999078475,1,hover,0.01170000177808106,1
1787927327.09776,,0.01531982421875,65.27490039840637,,0.08530000923201442,0.0048000074457377195,1,,0,,0,,0,hover,0.009399984264746308,1
1787927327.1532109,,0.0554509162902832,18.03396709920973,,22.293999994872138,0.0045000051613897085,1,4.721099976450205,1,,0,17.486400000052527,1,hover,0.009199982741847634,1
1787927327.16118,,0.007969141006469727,125.48403889304413,,0.08490000618621707,0.0048000074457377195,1,,0,,0,,0,hover,0.009499985026195645,1
1787927327.208681,,0.0475010871887207,21.052149733479226,,14.546899998094887,0.0044000043999403715,1,,0,,0,14.39229998504743,1,hover,0.009599985787644982,1
1787927327.227365,,0.018683910369873047,53.521986575810935,,0.08319999324157834,0.0048999791033566,1,,0,,0,,0,hover,0.009800016414374113,1
1787927327.2774067,,0.05004167556762695,19.983343656200866,,18.465600005583838,0.0043000036384910345,1,3.9520999998785555,1,,0,14.431199990212917,1,hover,0.009399984264746308,1
1787927327.2914104,,0.014003753662109375,71.4094252247344,,0.08150000940077007,0.0046000059228390455,1,,0,,0,,0,hover,0.009799987310543656,1
1787927327.337231,,0.04582047462463379,21.824304706402685,,14.152399991871789,0.0037999998312443495,1,,0,,0,14.076199993724003,1,hover,0.008499977411702275,1
1787927327.353585,,0.016354084014892578,61.146805843076656,,0.08299999171867967,0.0043000036384910345,1,,0,,0,,0,hover,0.009599985787644982,1
1787927327.423798,,0.07021307945251465,14.242360651284402,,21.01629998651333,0.0048000074457377195,1,4.13519999710843,1,,0,16.81159998406656,1,hover,0.009600014891475439,1
1787927327.4345706,,0.010772466659545898,92.8292499391364,,0.07979999645613134,0.0050000089686363935,1,,0,,0,,0,hover,0.009799987310543656,1
1787927327.4816697,,0.04709911346435547,21.231822139429404,,14.720999985001981,0.0032999960239976645,1,,0,,0,14.63379999040626,1,hover,0.009399984264746308,1
1787927327.4997034,,0.018033742904663086,55.451605653168336,,0.08289999095723033,0.004699977580457926,1,,0,,0,,0,hover,0.011199997970834374,1
1787927327.548921,,0.04921770095825195,20.317893370278153,,19.045699998969212,0.0044000043999403715,1,4.074900003615767,1,,0,14.901099988492206,1,hover,0.009799987310543656,1
1787927327.5623329,,0.013411760330200195,74.56142783495991,,0.083099992480129,0.0048000074457377195,1,,0,,0,,0,hover,0.00999998883344233,1
1787927327.6082551,,0.045922279357910156,21.775922580109235,,14.308900019386783,0.0036999990697950125,1,,0,,0,14.23240001895465,1,hover,0.00969998654909432,1
1787927327.627706,,0.019450902938842773,51.41149504185921,,0.08349999552592635,0.004399975296109915,1,,0,,0,,0,hover,0.009800016414374113,1
1787927327.6803474,,0.05264139175415039,18.996458237089776,,21.930399991106242,0.004599976819008589,1,4.326399997808039,1,,0,17.535399994812906,1,hover,0.009800016414374113,1
1787927327.6912842,,0.010936737060546875,91.43494942448552,,0.08779999916441739,0.0046000059228390455,1,,0,,0,,0,hover,0.011599971912801266,1
1787927327.7375875,,0.04630327224731445,21.596745790638998,,14.359500026330352,0.0037999998312443495,1,,0,,0,14.286300021922216,1,hover,0.008700008038431406,1
1787927327.7719862,,0.034398794174194336,29.070786462340326,,0.08909997995942831,0.0047000066842883825,1,,0,,0,,0,hover,0.010599993402138352,1
1787927327.821258,,0.04927182197570801,20.2955758464345,,18.371400015894324,0.0047000066842883825,1,4.188999999314547,1,,0,14.116400008788332,1,hover,0.009899988071992993,1
1787927327.8348136,,0.013555526733398438,73.7706486562544,,0.07700000423938036,0.0046000059228390455,1,,0,,0,,0,hover,0.009799987310543656,1
1787927327.8809884,,0.04617476463317871,21.656851051525525,,14.326899981824681,0.004099973011761904,1,,0,,0,14.25309997284785,1,hover,0.009200011845678091,1
1787927327.898221,,0.017232656478881836,58.02935845819671,,0.07999999797903001,0.0048999791033566,1,,0,,0,,0,hover,0.00990001717582345,1
1787927327.9489348,,0.05071377754211426,19.718507444442878,,18.53030000347644,0.0040000013541430235,1,4.110999987460673,1,,0,14.349900011438876,1,hover,0.009899988071992993,1
1787927327.9633613,,0.014426469802856445,69.31702721909137,,0.08040000102482736,0.0046000059228390455,1,,0,,0,,0,hover,0.010199990356341004,1
1787927328.0094562,,0.04609489440917969,21.694376629287873,,14.75239999126643,0.003999972250312567,1,,0,,0,14.679999992949888,1,hover,0.009000010322779417,1
1787927328.0277662,,0.018310070037841797,54.61475559259356,,0.17610000213608146,0.00790000194683671,1,,0,,0,,0,hover,0.019199971575289965,1
1787927328.0860682,,0.05830192565917969,17.152092125494814,,27.33260000240989,0.0043000036384910345,1,5.309100000886247,1,,0,21.944699983578175,1,hover,0.009799987310543656,1
1787927328.0930514,,0.006983280181884766,143.19918060771593,,0.15259999781847,0.008700008038431406,1,,0,,0,,0,hover,0.021099986042827368,1
1787927328.1530497,,0.059998273849487305,16.667146166715014,,14.529200008837506,0.0039000005926936865,1,,0,,0,14.45600000442937,1,hover,0.009499985026195645,1
1787927328.1709561,,0.01790642738342285,55.845869116570135,,0.09269997826777399,0.0042000028770416975,1,,0,,0,,0,hover,0.009600014891475439,1
1787927328.2229245,,0.05196833610534668,19.242486385803616,,19.981299992650747,0.0048000074457377195,1,4.064700013259426,1,,0,15.84569999249652,1,hover,0.009799987310543656,1
1787927328.2342122,,0.011287689208984375,88.59209192294693,,0.07959999493323267,0.0047000066842883825,1,,0,,0,,0,hover,0.009800016414374113,1
1787927328.2804933,,0.04628109931945801,21.607092629702706,,14.465399988694116,0.0036999990697950125,1,,0,,0,14.391900011105463,1,hover,0.009100011084228754,1
1787927328.2990003,,0.018507003784179688,54.033597856333095,,0.08150000940077007,0.004699977580457926,1,,0,,0,,0,hover,0.010300020221620798,1
1787927328.3491857,,0.050185441970825195,19.9260973048985,,18.974599981447682,0.0048000074457377195,1,3.927399986423552,1,,0,14.975099998991936,1,hover,0.00990001717582345,1
